# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1220920576
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,index.1
-724.408,0.999496,0.0193411,7,127,0,730.75,-1.70824,0.905483,0.791496,0.0458748,0.0459954,0.205664,0.349718,0.584597,0.225819,1.1733,5.97996,5.06411,0.997477,0.99372,0.125,0.343928,0.314411,0.160513,0.160532,0.187409,0.214516,0.264573,0.191037,8
-720.297,0.999764,0.0201795,6,63,0,729.999,-1.49218,-0.0495767,1.50797,0.234462,-0.0174704,0.0861505,0.398076,0.711377,0.562093,0.713738,5.02543,5.14078,0.993474,0.994181,0.125,0.178351,0.397502,0.210016,0.181734,0.192992,0.230046,0.272012,0.251432,8
-718.827,0.986292,0.0210514,6,63,0,724.208,-1.40094,0.143938,1.59898,0.028195,-0.244623,-0.0864907,0.343229,0.698359,0.688463,0.693676,4.98826,5.15343,0.993229,0.994254,0.125,0.213981,0.427572,0.200787,0.172127,0.188324,0.23815,0.285671,0.284272,8
-720.538,0.986461,0.0212719,5,63,0,723.774,-1.26197,0.170902,1.60158,-0.080417,-0.326606,-0.391178,0.315525,0.44257,0.830686,0.544025,4.75177,5.34884,0.991438,0.995269,0.125,0.237037,0.403557,0.213205,0.1916,0.186218,0.251559,0.264794,0.307879,8
-723.162,0.996099,0.0214959,7,127,0,730.536,-0.913129,-0.671755,1.56875,-1.11059,-1.21921,-1.14864,-0.738117,-0.336187,-1.62985,0.386837,5.53722,4.50497,0.996078,0.989067,0.125,0.236315,0.424024,0.207059,0.200245,0.204652,0.231714,0.260537,0.17601,8
-720.383,0.999669,0.0221979,7,127,0,728.263,-0.88194,-0.112123,1.02103,-0.732006,-0.476326,-1.04281,-0.345437,-0.392769,0.162033,0.814096,4.83419,5.23511,0.99211,0.994702,0.125,0.274239,0.487322,0.18575,0.219306,0.150474,0.238094,0.231174,0.320815,8
-716.591,0.997836,0.0230954,5,63,0,722.809,-1.03702,-0.114883,0.891312,-0.566023,-0.62918,-0.505194,-0.166211,0.0973569,-0.194374,0.797483,5.37886,5.07376,0.995408,0.99378,0.125,0.244413,0.419163,0.184161,0.176713,0.191561,0.236933,0.277003,0.232897,8
-717.592,0.986496,0.0239139,6,63,0,719.55,-1.04937,-0.113794,0.72213,-0.619578,-0.141647,-0.47109,-0.17128,0.0927759,-0.387852,0.858687,4.68796,5.04834,0.990879,0.993621,0.125,0.241023,0.394297,0.170599,0.236675,0.189404,0.232109,0.27494,0.200622,8
-719.384,0.998518,0.0241256,6,63,0,723.152,-0.0935851,-0.410112,-0.127701,-0.503555,-1.15809,-0.615228,-0.547498,-0.242282,-0.611899,2.11279,5.17766,4.88327,0.99439,0.992485,0.125,0.276865,0.410139,0.239123,0.0730741,0.19886,0.222642,0.353092,0.199983,8
-722.602,0.829009,0.0249922,6,63,0,729.359,-0.280516,-0.725203,-0.000857708,-0.873899,-1.29582,-0.528399,-0.445789,-0.512582,-0.747448,1.69172,5.21797,4.83314,0.994611,0.992101,0.125,0.181331,0.429972,0.146927,0.0777953,0.236057,0.262181,0.240917,0.175811,8
